Project,Package,Address,AMW,ATFD,BOvM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,Futile Abstract Pipeline,GREEDY,HIT,LOCC,NAS,NAbsM,NOA,NOAM,NOD,NODD,NOM,NOPA,NProtM,NTempF,NSPECM,NrEC,NrBM,NrFE,NrIC,NrSS,PNAS,SCHIZO,TCC,Tradition Breaker,Temporary Field Host,WMC,WOC,is abstract,is interface,is leaf-class,is root-class,Brain Class
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,MapModule,freemind.view.MapModule,1.18,1,0,1,3,12,28,2,4,0,3,1,FALSE,0,0,70,0,0,7,8,0,0,11,0,0,0,0,0,0,0,0,1,-1,0,0.18,FALSE,FALSE,13,0.2,FALSE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,BooleanProperty,freemind.common.BooleanProperty,1.57,0,0,1,1,0,0,0,0,1,1,0,FALSE,0,1,71,0,0,7,2,1,1,7,3,0,0,0,0,0,0,0,0,0,0,0.4,FALSE,FALSE,11,0.36,FALSE,FALSE,FALSE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,PropertyBean,freemind.common.PropertyBean,0.67,0,0,1,0,3,12,0,1,0,0,0,FALSE,0,2,27,0,3,1,0,12,10,6,0,1,0,0,0,0,0,0,0,-1,0,0.2,FALSE,FALSE,4,1,TRUE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,PropertyControl,freemind.common.PropertyControl,0,0,0,1,0,2,3,0,0,0,0,0,FALSE,0,2,10,0,4,0,0,15,13,4,0,0,0,0,0,0,0,0,0,-1,0,0,FALSE,FALSE,0,1,TRUE,TRUE,FALSE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,TextTranslator,freemind.common.TextTranslator,0,0,0,1,0,15,22,0,0,0,0,0,FALSE,0,4,3,0,1,0,0,11,5,1,0,0,0,0,0,0,0,0,1,-1,0,1,FALSE,FALSE,0,1,TRUE,TRUE,FALSE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,ColorProperty,freemind.common.ColorProperty,1.3,0,0,1,3,0,1,0,1,1,4,0,FALSE,0,0,109,1,0,7,2,0,0,10,5,0,0,0,0,0,0,0,0,0.14,0,0.19,FALSE,FALSE,13,0.42,FALSE,FALSE,TRUE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,ComboProperty,freemind.common.ComboProperty,1.25,0,0,1,1,1,1,0,0,1,1,0,FALSE,0,0,110,1,0,4,2,0,0,12,3,0,0,0,0,0,0,0,0,0.14,0,0.33,FALSE,FALSE,15,0.5,FALSE,FALSE,TRUE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,DontShowNotificationProperty,freemind.common.DontShowNotificationProperty,1,0,0,1,0,0,0,0,0,2,0,0,FALSE,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,1,0,FALSE,FALSE,TRUE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,FontProperty,freemind.common.FontProperty,1.43,0,0,1,1,0,0,0,1,1,1,0,FALSE,0,0,74,0,0,6,2,0,0,7,4,0,1,0,0,0,0,0,0,0,0,0.4,FALSE,TRUE,10,0.4,FALSE,FALSE,TRUE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,IconProperty,freemind.common.IconProperty,1.44,1,0,1,4,0,0,0,2,1,7,1,FALSE,0,0,86,1,0,6,2,0,0,9,3,0,0,0,0,0,0,0,0,0.14,0,0.18,FALSE,FALSE,13,0.5,FALSE,FALSE,TRUE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,NamedObject,freemind.common.NamedObject,1.17,0,0,1,0,1,3,0,0,0,0,0,FALSE,0,0,33,0,0,2,1,0,0,6,0,0,0,0,0,0,0,0,0,-1,0,0.67,FALSE,FALSE,7,0.75,FALSE,FALSE,FALSE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,NextLineProperty,freemind.common.NextLineProperty,1,0,0,1,0,0,0,2,0,0,0,0,FALSE,0,0,23,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,5,0.25,FALSE,FALSE,TRUE,TRUE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,NumberProperty,freemind.common.NumberProperty,1.43,0,0,1,2,0,0,0,0,1,3,0,FALSE,0,0,73,0,0,6,2,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0.4,FALSE,FALSE,10,0.5,FALSE,FALSE,TRUE,FALSE,FALSE
Downloads/QualitasCorpus-20130901r/Systems/freemind-0.9.0,OptionalDontShowMeAgainDialog,freemind.common.OptionalDontShowMeAgainDialog,2.25,0,0,1,4,4,7,0,2,0,9,0,FALSE,0,0,157,0,0,12,1,0,0,4,0,0,0,0,0,0,0,0,0,-1,3,1,FALSE,FALSE,9,0.25,FALSE,FALSE,FALSE,TRUE,FALSE
